Configuration
batch_size = 128
cuda = True
data = './data/wikitext-2'
dry_run = False
emsize = 100
epochs = 10
eval_batch_size = 128
log_interval = 200
lr = 0.001
nhid = 100
onnx_export = ''
save = 'model.pt'
seed = 1111
seq_size = 6
skip_train = False
tied = False

| epoch   1 |   200/16311 batches | lr 1.00e-03 | ms/batch  5.74 | loss  4.76 | ppl   116.96
| epoch   1 |   400/16311 batches | lr 1.00e-03 | ms/batch  5.55 | loss  4.44 | ppl    84.65
| epoch   1 |   600/16311 batches | lr 1.00e-03 | ms/batch  5.55 | loss  4.27 | ppl    71.66
| epoch   1 |   800/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  4.16 | ppl    64.37
| epoch   1 |  1000/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  4.08 | ppl    59.17
| epoch   1 |  1200/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  4.02 | ppl    55.58
| epoch   1 |  1400/16311 batches | lr 1.00e-03 | ms/batch  5.60 | loss  3.95 | ppl    51.72
| epoch   1 |  1600/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.94 | ppl    51.22
| epoch   1 |  1800/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.88 | ppl    48.64
| epoch   1 |  2000/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  3.85 | ppl    46.89
| epoch   1 |  2200/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  3.81 | ppl    45.04
| epoch   1 |  2400/16311 batches | lr 1.00e-03 | ms/batch  5.66 | loss  3.80 | ppl    44.78
| epoch   1 |  2600/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  3.78 | ppl    44.00
| epoch   1 |  2800/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  3.74 | ppl    41.93
| epoch   1 |  3000/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  3.75 | ppl    42.67
| epoch   1 |  3200/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  3.72 | ppl    41.41
| epoch   1 |  3400/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  3.72 | ppl    41.15
| epoch   1 |  3600/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  3.69 | ppl    39.89
| epoch   1 |  3800/16311 batches | lr 1.00e-03 | ms/batch  5.68 | loss  3.66 | ppl    39.04
| epoch   1 |  4000/16311 batches | lr 1.00e-03 | ms/batch  5.69 | loss  3.64 | ppl    38.22
